name,type,status,original_language,genres,origin_country,number_of_seasons,number_of_episodes,episode_run_time,vote_count,vote_average,popularity,first_air_date
The Real Adventures of Jonny Quest,Scripted,Ended,en,"Action & Adventure, Animation",US,2,52,22,34,7.132,45.099,1996-08-26
Below Deck Mediterranean,Reality,Returning Series,en,Reality,US,8,126,60,34,8.0,78.05,2016-05-03
Rawhide,Scripted,Ended,en,Western,US,8,217,50,34,7.2,43.95,1959-01-09
Our Russia,Scripted,Ended,ru,Comedy,RU,5,77,19,34,6.2,23.482,2006-11-04
Spirit: Riding Free,Scripted,Ended,en,"Kids, Animation",US,8,52,24,34,8.0,8.48,2017-09-09
The Ancient Magus' Bride: Those Awaiting a Star,Video,Ended,ja,"Animation, Sci-Fi & Fantasy",JP,1,3,23,34,7.4,10.783,2016-08-13
Exit,Scripted,Ended,no,Drama,NO,3,24,30,34,7.6,29.678,2019-09-27
Grimoire of Zero,Scripted,Ended,ja,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama, Comedy",JP,1,12,24,34,6.5,4.702,2017-04-16
Chosen,Scripted,Canceled,en,"Drama, Action & Adventure",US,3,18,30,34,6.9,8.901,2013-01-17
This Is Silvia Pinal,Miniseries,Ended,es,Drama,MX,1,21,44,34,6.9,10.705,2019-02-22
Akane-Iro ni Somaru Saka,Scripted,Ended,ja,"Drama, Animation, Comedy",JP,1,12,25,34,7.2,10.259,2008-10-01
Daniel Deronda,Scripted,Ended,en,Drama,GB,1,4,60,34,7.9,5.137,2002-11-23
Nathan Barley,Scripted,Ended,en,Comedy,GB,1,6,156,34,7.273,5.896,2005-02-11
Our Universe,Documentary,Ended,en,Documentary,GB,1,6,45,34,7.779,7.868,2022-11-22
The Virtues,Miniseries,Ended,en,Drama,GB,1,4,45,34,7.5,5.531,2019-05-15
D-Frag!,Scripted,Ended,ja,"Animation, Comedy",JP,1,12,23,34,7.1,8.205,2014-01-07
Life in the Undergrowth,Miniseries,Ended,en,Documentary,GB,1,5,60,34,8.4,3.919,2005-11-23
Welcome to Sweden,Scripted,Canceled,en,Comedy,SE,2,20,30,34,6.0,4.283,2014-03-21
Shigurui: Death Frenzy,Scripted,Ended,ja,"Animation, Drama, Action & Adventure",JP,1,12,23,34,7.5,7.896,2007-07-19
Everything Will Be Fine,Scripted,Canceled,es,"Comedy, Drama",MX,1,8,34,34,7.1,3.489,2021-08-20
Sex&Drugs&Rock&Roll,Scripted,Canceled,en,Comedy,US,2,20,24,34,5.544,4.437,2015-07-16
Rugal,Scripted,Ended,ko,"Action & Adventure, Crime, Mystery, Sci-Fi & Fantasy, Drama",KR,1,16,60,34,6.824,7.993,2020-03-28
Harley and the Davidsons,Miniseries,Ended,en,Drama,US,1,3,80,34,7.809,10.468,2016-09-05
Mona the Vampire,Scripted,Ended,en,"Family, Animation",CA,5,65,30,34,7.735,17.486,1999-09-13
Fog Hill of Five Elements,Scripted,Returning Series,zh,"Animation, Action & Adventure, Sci-Fi & Fantasy",CN,1,7,28,34,8.176,27.506,2020-07-26
Senryu Girl,Scripted,Ended,ja,"Animation, Comedy",JP,1,12,13,34,7.4,7.734,2019-04-06
The Ryuo's Work is Never Done!,Scripted,Ended,ja,"Animation, Comedy",JP,1,12,24,34,6.6,8.189,2018-01-08
Suppose a Kid From the Last Dungeon Boonies Moved to a Starter Town?,Scripted,Ended,ja,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",JP,1,12,24,34,7.0,13.766,2021-01-04
Quick Draw McGraw,Scripted,Ended,en,"Kids, Animation, Comedy, Crime, Western, Action & Adventure",US,3,45,7,34,6.529,52.732,1959-09-29
The Greatest Demon Lord Is Reborn as a Typical Nobody,Scripted,Ended,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,1,12,24,34,6.773,38.392,2022-04-06
Agent Hamilton,Scripted,Returning Series,sv,"Action & Adventure, Crime",SE,2,17,44,34,6.191,10.743,2020-01-01
Law School,Scripted,Ended,ko,"Drama, Crime, Mystery",KR,1,16,65,34,7.6,17.103,2021-04-14
You Are Wanted,Scripted,Ended,de,"Drama, Mystery",DE,2,12,46,34,6.088,2.896,2017-03-17
The Jim Jefferies Show,Talk Show,Canceled,en,"Comedy, Talk",US,3,70,22,34,6.3,85.403,2017-06-06
Angela Anaconda,Scripted,Ended,en,"Animation, Comedy, Family","CA, US",3,65,30,34,4.647,57.752,1999-10-04
Gary Unmarried,Scripted,Canceled,en,Comedy,US,2,37,22,34,6.2,5.108,2008-09-24
Moby Dick,Miniseries,Ended,en,Drama,"AT, DE",1,4,46,34,5.662,5.398,2011-05-08
Pointless,Scripted,Returning Series,en,Reality,GB,30,1610,43,34,6.735,25.465,2009-08-24
Rust Valley Restorers,Reality,Returning Series,en,"Documentary, Reality",CA,4,42,60,34,7.824,9.0,2018-12-06
19-2,Scripted,Ended,en,"Crime, Drama",CA,4,38,44,34,7.985,18.041,2014-01-29
The World Ends With You: The Animation,Scripted,Ended,ja,"Animation, Drama, Mystery, Action & Adventure",JP,1,12,24,34,7.324,9.641,2021-04-10
F4 Thailand: Boys Over Flowers,Scripted,Ended,th,"Comedy, Drama",TH,1,16,60,34,8.2,14.859,2021-12-18
Luv Is,Scripted,Returning Series,tl,Drama,PH,2,80,30,34,7.9,11.974,2023-01-16
I'm Quitting Heroing,Scripted,Ended,ja,"Animation, Sci-Fi & Fantasy",JP,1,12,24,34,7.3,13.441,2022-04-05
Ellery Queen,Scripted,Ended,en,"Mystery, Drama",US,1,22,60,34,7.441,9.31,1975-09-11
The Undeclared War,Scripted,Ended,en,"War & Politics, Drama, Sci-Fi & Fantasy",GB,1,6,47,34,6.6,10.544,2022-06-30
Vortex,Miniseries,Ended,fr,"Crime, Sci-Fi & Fantasy, Drama",FR,1,6,52,34,6.662,17.137,2023-01-02
Cat's Eye,Scripted,Ended,ja,"Animation, Action & Adventure, Comedy, Drama",JP,2,73,24,34,7.1,18.239,1983-07-11
Fixer Upper,Reality,Canceled,en,Reality,US,5,78,45,34,7.794,10.554,2013-05-13
Bunheads,Scripted,Canceled,en,"Comedy, Drama",US,1,18,42,34,7.265,9.827,2012-06-11
The Split,Scripted,Ended,en,Drama,GB,3,18,58,34,7.7,8.347,2018-04-24
Chrisley Knows Best,Reality,Canceled,en,Reality,US,10,205,22,34,7.3,35.902,2014-03-11
Last of the Summer Wine,Scripted,Ended,en,Comedy,GB,31,269,30,34,7.147,71.245,1973-01-04
Sanjay and Craig,Scripted,Ended,en,"Family, Animation, Comedy",US,3,114,11,34,5.191,213.032,2013-05-25
Put Your Head on My Shoulder,Scripted,Ended,zh,"Drama, Comedy",CN,1,25,45,34,7.853,30.447,2019-04-10
Kally's Mashup,Scripted,Returning Series,es,Comedy,AR,2,120,45,34,8.324,29.777,2017-10-23
Brynhildr in the Darkness,Scripted,Ended,ja,"Action & Adventure, Animation",JP,1,13,24,34,6.7,7.825,2014-04-06
So I Married an Anti-Fan,Scripted,Ended,ko,"Comedy, Drama",KR,1,16,60,34,7.544,24.459,2021-04-30
Allen v. Farrow,Miniseries,Ended,en,Documentary,US,1,4,64,34,6.574,5.122,2021-02-21
The Wonderful Adventures of Nils,Scripted,Ended,ja,"Animation, Action & Adventure, Kids",JP,1,52,25,34,7.588,11.994,1980-01-08
Producing Nobuta,Miniseries,Ended,ja,"Drama, Comedy",JP,1,10,60,34,7.441,3.506,2005-10-15
Spy,Scripted,Canceled,en,Comedy,GB,2,17,22,34,7.618,7.771,2011-10-14
Land of the Lost,Scripted,Ended,en,"Action & Adventure, Sci-Fi & Fantasy, Family",US,3,43,22,34,7.1,9.613,1974-09-07
Single's Inferno,Reality,Returning Series,ko,Reality,KR,3,18,60,34,7.882,12.164,2021-12-18
Total Drama World Tour,Scripted,Ended,en,"Action & Adventure, Animation, Comedy, Drama",CA,1,26,22,34,8.309,19.042,2010-06-10
The Disastrous Life of Saiki K.: Reawakened,Scripted,Ended,ja,"Animation, Comedy",JP,1,6,23,34,7.1,10.23,2019-12-30
Joran: The Princess of Snow and Blood,Scripted,Ended,ja,"Animation, Action & Adventure",JP,1,12,23,34,6.6,8.54,2021-03-31
Bad Buddy,Miniseries,Ended,th,"Comedy, Drama",TH,1,12,60,34,8.4,8.164,2021-10-29
Love and Lies,Scripted,Ended,ja,"Animation, Drama",JP,1,12,24,33,6.606,11.518,2017-07-04
The Law of Ueki,Scripted,Ended,ja,"Animation, Comedy",JP,1,51,25,33,7.697,11.967,2005-04-04
Traces,Scripted,Ended,en,"Mystery, Crime",GB,2,12,46,33,6.879,8.08,2019-12-09
Alderamin on the Sky,Scripted,Ended,ja,"Action & Adventure, Animation, Drama, Comedy, Sci-Fi & Fantasy",JP,1,13,24,33,7.015,10.087,2016-07-08
The Phantom,Miniseries,Ended,en,"Action & Adventure, Crime, Drama",CA,1,2,120,33,5.212,5.81,2009-12-22
Outbreak Company,Scripted,Ended,ja,"Drama, Animation, Comedy, Romance",JP,1,12,25,33,6.8,10.348,2013-10-03
Brainiac: Science Abuse,Documentary,Ended,en,"Documentary, Comedy",GB,6,59,60,33,6.636,6.283,2003-11-13
A Thirty-Year Old's Health and Physical Education,Scripted,Ended,ja,"Animation, Comedy",JP,1,12,12,33,6.364,11.538,2011-05-06
The Founder of Diabolism,Scripted,Ended,zh,"Animation, Drama, Sci-Fi & Fantasy, Action & Adventure",CN,3,35,35,33,8.1,30.085,2018-07-09
Zhuki,Scripted,Returning Series,ru,Comedy,RU,3,48,25,33,9.242,15.715,2019-09-02
Remarriage & Desires,Miniseries,Ended,ko,Drama,KR,1,8,60,33,7.7,17.955,2022-07-15
49,Scripted,Ended,ja,"Drama, Sci-Fi & Fantasy",JP,1,11,23,33,7.121,2.583,2013-10-06
Remake Our Life!,Scripted,Ended,ja,"Animation, Mystery, Drama",JP,1,12,24,33,7.2,11.245,2021-07-03
Fi,Scripted,Ended,tr,Drama,TR,2,22,75,33,7.545,9.321,2017-03-31
Destination Truth,Reality,Ended,en,"Documentary, Sci-Fi & Fantasy",US,5,55,60,33,8.2,5.342,2007-06-06
Lip Service,Scripted,Canceled,en,Drama,GB,2,12,60,33,6.288,6.48,2010-10-12
The Strongest Sage With the Weakest Crest,Scripted,Ended,ja,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",JP,1,12,24,33,6.9,25.283,2022-01-08
Record of Lodoss War,Video,Ended,ja,"Action & Adventure, Animation, Drama",JP,1,13,25,33,7.864,6.678,1990-06-30
In the Dark,Miniseries,Ended,en,"Crime, Drama",GB,1,4,58,33,6.621,7.138,2017-07-11
Benidorm,Scripted,Ended,en,Comedy,GB,10,72,60,33,7.697,15.483,2007-02-01
Deadly Women,Documentary,Returning Series,en,Documentary,US,14,190,42,33,8.2,10.763,2005-02-08
Cursed Films,Documentary,Returning Series,en,Documentary,US,2,10,29,33,7.333,6.453,2020-04-02
Uncle,Scripted,Ended,en,Comedy,GB,3,19,30,33,7.652,3.15,2014-01-13
Post Mortem,Miniseries,Ended,es,"Mystery, Drama",AR,1,8,29,33,7.1,3.588,2020-10-01
Spartakus and the Sun Beneath the Sea,Scripted,Ended,fr,"Animation, Sci-Fi & Fantasy",FR,2,92,25,33,7.9,59.051,1985-09-24
Dance in the Vampire Bund,Scripted,Ended,ja,"Animation, Drama, Action & Adventure, Sci-Fi & Fantasy",JP,1,12,24,33,6.8,23.43,2010-01-07
Year of the Rabbit,Scripted,Canceled,en,"Comedy, Crime, Action & Adventure, Mystery",GB,1,6,25,33,7.455,4.659,2019-06-10
Star Blazers [Space Battleship Yamato] 2199,Video,Ended,ja,"Action & Adventure, Animation, Drama, Sci-Fi & Fantasy, War & Politics",JP,2,52,25,33,7.439,21.453,2013-04-07
PJ Masks,Scripted,Returning Series,en,"Animation, Family, Kids","CA, FR, GB",5,257,12,33,4.682,90.827,2015-09-18
Frankenstein,Miniseries,Ended,en,"Drama, Sci-Fi & Fantasy","DE, US",1,2,88,33,5.788,7.23,2004-10-05
All Creatures Great and Small,Scripted,Ended,en,"Comedy, Drama",GB,7,87,60,33,8.0,19.474,1978-01-08
"Mike, Lu & Og",Scripted,Ended,en,Animation,"US, RU",2,26,30,33,5.803,5.457,1999-11-12
Spectros,Scripted,Canceled,pt,Sci-Fi & Fantasy,BR,1,7,43,33,6.706,2.633,2020-02-20
Girlfriends,Scripted,Ended,en,"Drama, Comedy",US,8,172,30,33,7.576,82.36,2000-09-11
Spy Kids: Mission Critical,Scripted,Canceled,en,"Animation, Action & Adventure, Kids",US,2,20,25,33,7.5,11.908,2018-04-20
Frontline,Documentary,Returning Series,en,"Documentary, News, Talk",US,42,797,55,33,7.8,70.685,1983-01-17
The Villains of Valley View,Scripted,Returning Series,en,"Comedy, Family",US,2,39,24,33,7.5,40.801,2022-06-03
Two Pints of Lager and a Packet of Crisps,Scripted,Ended,en,Comedy,GB,9,78,30,33,7.0,21.07,2001-02-26
All the Queen's Men,Scripted,Returning Series,en,Drama,US,3,38,43,33,9.515,18.771,2021-09-09
The Witcher,Miniseries,Ended,pl,"Drama, Action & Adventure, Sci-Fi & Fantasy",PL,1,13,50,33,5.758,6.099,2002-09-22
Revenant,Miniseries,Ended,ko,"Mystery, Drama",KR,1,12,67,33,7.9,19.568,2023-06-23
The Innocent Man,Scripted,Ended,ko,Drama,KR,1,20,60,33,7.848,9.54,2012-09-12
The Code,Scripted,Canceled,en,Drama,US,1,12,43,33,6.5,7.732,2019-04-09
Dickensian,Scripted,Ended,en,Drama,GB,1,20,30,33,7.197,9.973,2015-12-26
Indian Summers,Scripted,Ended,en,Drama,GB,2,20,48,33,7.265,6.333,2015-02-15
Bernard,Scripted,Ended,ko,Animation,KR,5,261,3,33,5.939,29.797,2006-12-18
The Centurions,Scripted,Ended,en,"Animation, Kids",US,1,65,30,33,7.3,7.597,1986-04-07
Dino Mech Gaiking,Scripted,Ended,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,1,44,24,33,8.636,4.565,1976-04-01
Voltes V: Legacy,Scripted,Ended,tl,"Sci-Fi & Fantasy, Action & Adventure",PH,1,90,30,33,7.2,184.677,2023-05-08
Hardcastle and McCormick,Scripted,Ended,en,"Action & Adventure, Drama",US,3,67,60,33,6.47,88.804,1983-09-18
La mujer en el espejo,Scripted,Ended,es,Mystery,CO,1,110,44,33,6.5,2.961,1997-08-07
The Bill,Scripted,Canceled,en,"Crime, Drama",GB,26,2373,25,33,6.8,24.097,1984-10-16
Chikatilo,Scripted,Returning Series,ru,"Crime, Drama",RU,2,16,50,33,8.303,6.876,2021-03-18
Point Pleasant,Scripted,Canceled,en,"Mystery, Crime, Mystery",US,1,13,44,33,6.788,7.216,2005-01-19
Bless This Mess,Scripted,Canceled,en,Comedy,US,2,26,22,33,6.273,27.907,2019-04-16
Fights Break Sphere,Scripted,Returning Series,zh,"Animation, Drama, Action & Adventure",CN,5,164,25,33,8.8,84.681,2017-01-07
Archangel,Miniseries,Ended,en,"Drama, Action & Adventure",GB,1,3,43,33,6.25,9.85,2005-03-19
Bloom,Scripted,Ended,en,"Drama, Sci-Fi & Fantasy",AU,2,12,53,33,7.2,13.051,2019-01-01
Nature's Great Events,Miniseries,Ended,en,Documentary,GB,1,6,49,33,8.456,25.227,2009-02-11
"True Jackson, VP",Scripted,Ended,en,Comedy,US,3,60,23,33,7.788,76.735,2008-11-08
Max and Ruby,Scripted,Ended,en,"Kids, Animation","CA, US",6,262,30,33,6.242,262.287,2002-05-03
Interrogation,Scripted,Canceled,en,"Drama, Crime",US,1,10,45,33,6.879,12.694,2020-02-05
Somebody Somewhere,Scripted,Returning Series,en,"Comedy, Drama",US,2,14,30,33,7.652,9.377,2022-01-16
Prey,Scripted,Ended,en,Crime,GB,2,6,60,33,6.879,5.276,2014-04-28
Ancient Apocalypse,Documentary,Returning Series,en,Documentary,GB,1,8,30,33,6.227,6.32,2022-11-11
Elize Matsunaga: Once Upon a Crime,Miniseries,Ended,pt,"Documentary, Crime",BR,1,4,50,33,6.0,5.282,2021-07-08
Harry's Law,Scripted,Ended,en,"Comedy, Drama",US,2,34,42,33,7.182,68.345,2011-01-17
Blake's 7,Scripted,Ended,en,"Drama, Sci-Fi & Fantasy",GB,4,52,50,33,7.061,57.609,1978-01-02
My Cat from Hell,Reality,Ended,en,Reality,US,11,111,42,33,7.3,7.138,2011-05-07
Dirt,Scripted,Canceled,en,Drama,US,2,20,60,33,6.818,9.259,2007-01-02
Jekyll and Hyde,Scripted,Canceled,en,"Drama, Action & Adventure, Sci-Fi & Fantasy",GB,1,10,47,33,6.091,7.036,2015-10-25
Louis Theroux's Weird Weekends,Documentary,Ended,en,Documentary,GB,3,16,50,33,8.2,3.053,1998-01-15
LIVE with Kelly and Mark,Talk Show,Returning Series,en,Talk,US,36,6114,44,33,5.5,894.216,1988-09-05
Swamp People,Reality,Returning Series,en,Reality,US,14,237,42,33,8.242,10.803,2010-08-22
Doctor Prisoner,Scripted,Ended,ko,"Drama, Crime",KR,1,32,35,33,7.197,10.793,2019-03-20
The Cleaner,Scripted,Returning Series,en,Comedy,GB,2,12,29,33,6.97,5.257,2021-09-10
Kinnikuman,Scripted,Ended,ja,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",JP,2,183,25,33,7.803,37.612,1983-04-03
Akikan!,Scripted,Ended,ja,"Comedy, Animation",JP,1,12,25,33,7.667,9.613,2009-01-03
jerks.,Scripted,Ended,de,Comedy,DE,5,51,21,33,8.0,6.701,2017-01-26
Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,Scripted,Ended,ja,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",JP,1,12,24,33,5.879,10.189,2019-07-13
The Crimson Petal and the White,Miniseries,Ended,en,Drama,GB,1,4,60,33,7.47,7.307,2011-04-06
The PJs,Scripted,Ended,en,"Animation, Comedy",US,3,44,30,33,7.1,9.894,1999-01-10
Who Were We Running From?,Scripted,Returning Series,tr,"Crime, Mystery, Drama",TR,1,7,45,33,7.03,8.045,2023-03-24
The Real Housewives of Potomac,Reality,Returning Series,en,Reality,US,8,135,42,33,6.3,51.075,2016-01-17
A Perfect Crime,Miniseries,Ended,de,"Documentary, Crime",DE,1,4,43,33,7.061,5.05,2020-09-25
The Severing Crime Edge,Scripted,Ended,ja,"Animation, Action & Adventure, Comedy",JP,1,13,25,33,7.9,6.461,2013-04-04
Roar,Scripted,Canceled,en,Drama,US,1,8,32,33,6.091,11.827,2022-04-15
Baa Baa Black Sheep,Scripted,Ended,en,"Action & Adventure, Drama, War & Politics",US,2,36,60,33,7.621,35.051,1976-09-21
The World's Most Extraordinary Homes,Documentary,Ended,en,Documentary,GB,2,12,60,33,7.5,6.998,2017-02-08
The Other Two,Scripted,Ended,en,Comedy,US,3,30,21,33,7.4,14.081,2019-01-24
Deep Water,Miniseries,Ended,en,"Crime, Drama",AU,1,4,55,32,6.516,6.084,2016-10-05
Full Moon,Scripted,Ended,tr,"Comedy, Drama",TR,1,26,120,32,8.1,24.826,2017-07-04
Peter Kay's Car Share,Scripted,Ended,en,Comedy,GB,2,10,30,32,7.656,4.153,2015-04-29
The Making of The Mob,Documentary,Canceled,en,"Drama, Documentary",US,2,16,43,32,6.6,5.691,2015-06-15
Interviews with Monster Girls,Scripted,Ended,ja,"Comedy, Animation, Sci-Fi & Fantasy",JP,1,12,24,32,7.359,11.255,2017-01-08
Ultimate Otaku Teacher,Scripted,Ended,ja,"Animation, Comedy",JP,1,24,25,32,8.266,5.682,2015-04-04
The Chef Show,Documentary,Ended,en,Documentary,US,2,25,30,32,7.609,40.536,2019-06-07
Restaurant: Impossible,Reality,Canceled,en,Reality,US,22,250,43,32,6.7,17.345,2011-01-19
Chaika - The Coffin Princess,Scripted,Ended,ja,"Action & Adventure, Animation, Comedy",JP,2,22,25,32,6.781,10.619,2014-04-09
Where's Wally?,Scripted,Ended,en,"Action & Adventure, Animation, Comedy, Family",GB,1,17,25,32,6.8,4.433,1991-09-14
The Territory,Scripted,Returning Series,ru,Comedy,RU,2,32,25,32,9.5,6.07,2019-10-28
Monsters vs. Aliens,Scripted,Ended,en,"Animation, Family",US,1,50,12,32,5.891,164.081,2013-03-23
The Real World,Reality,Returning Series,en,Reality,US,33,634,42,32,5.9,219.202,1992-05-21
Wanderlust,Miniseries,Ended,en,Drama,GB,1,6,57,32,6.609,5.104,2018-09-04
Wild Babies,Documentary,Returning Series,en,Documentary,GB,1,8,35,32,7.5,2.56,2022-05-05
Transformers: Animated,Scripted,Ended,en,"Action & Adventure, Animation, Family, Sci-Fi & Fantasy","US, JP",3,42,23,32,8.125,26.693,2007-12-26
The New Avengers,Scripted,Ended,en,"Drama, Action & Adventure","CA, GB",2,26,50,32,6.859,10.52,1976-10-22
The Fix,Scripted,Canceled,en,"Drama, Crime",US,1,10,43,32,6.719,7.053,2019-03-18
Saved by the Bell: The New Class,Scripted,Ended,en,"Family, Comedy",US,7,143,30,32,5.7,111.237,1993-09-11
Intersection,Scripted,Ended,tr,Drama,TR,2,31,140,32,5.6,22.397,2016-01-07
Comanche Moon,Scripted,Ended,en,"Drama, Western",US,1,3,90,32,7.0,5.802,2008-01-13
The Company You Keep,Scripted,Canceled,en,"Drama, Crime",US,1,10,44,32,6.922,24.84,2023-02-19
The Good Life,Scripted,Ended,en,Comedy,GB,4,28,30,32,7.5,7.423,1975-04-04
Bubble Guppies,Scripted,Returning Series,en,"Animation, Family, Kids",US,7,127,25,32,7.781,100.643,2011-01-24
Pat & Mat,Scripted,Returning Series,cs,"Animation, Kids, Family, Comedy","CZ, XC",19,324,8,32,8.031,57.89,1976-08-12
90 Day Fiancé: Before the 90 Days,Reality,Returning Series,en,Reality,US,6,93,60,32,8.0,32.471,2017-08-06
Prime Suspect,Scripted,Ended,en,"Drama, Action & Adventure",US,1,13,43,32,6.813,4.279,2011-09-22
WWE 205 Live,Scripted,Canceled,en,"Action & Adventure, Drama",US,7,270,60,32,5.6,124.657,2016-11-29
The Great Jahy Will Not Be Defeated!,Scripted,Ended,ja,"Animation, Comedy, Sci-Fi & Fantasy",JP,1,20,24,32,7.106,10.995,2021-08-01
It's Bruno!,Scripted,Ended,en,Comedy,US,1,8,15,32,6.953,4.298,2019-05-17
Santa Barbara,Scripted,Ended,en,Soap,US,10,2137,60,32,4.875,7.295,1984-07-30
Gosick,Scripted,Ended,ja,"Animation, Drama, Mystery",JP,1,24,24,32,7.8,11.913,2011-01-07
A Gifted Man,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama",US,1,16,44,32,6.313,11.397,2011-09-23
MacGruber,Scripted,Canceled,en,"Action & Adventure, Comedy",US,1,8,35,32,6.0,8.03,2021-12-16
This Time with Alan Partridge,Scripted,Ended,en,Comedy,GB,2,12,30,32,7.906,4.793,2019-02-25
Heartbreak High,Scripted,Ended,en,Drama,AU,6,210,50,32,7.219,44.296,1994-04-01
Bonkers,Scripted,Ended,en,"Animation, Mystery, Comedy",US,1,65,30,32,6.3,82.767,1993-09-04
Los Serrano,Scripted,Ended,es,"Comedy, Family, Drama",ES,8,147,80,32,5.813,43.765,2003-04-22
Feed the Beast,Scripted,Canceled,en,Drama,US,1,10,42,32,6.2,4.85,2016-06-05
Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs,Scripted,Returning Series,ja,"Animation, Comedy",JP,2,12,24,32,7.281,16.837,2022-04-03
District 31,Scripted,Ended,fr,"Crime, Drama",CA,6,716,22,32,4.9,96.146,2016-09-12
Manhattan Love Story,Scripted,Canceled,en,Comedy,US,1,11,30,32,6.4,4.508,2014-09-30
Bajo las Riendas del Amor,Scripted,Ended,es,"Drama, Family",MX,1,150,60,32,7.0,2.971,2007-03-12
The First Lady,Scripted,Canceled,en,Drama,US,1,10,55,32,6.6,11.608,2022-04-17
Mi fortuna es amarte,Scripted,Returning Series,es,Drama,MX,1,35,50,32,7.813,20.889,2021-11-08
Samurai Harem,Scripted,Ended,ja,"Animation, Comedy, Drama",JP,1,12,25,32,7.1,6.785,2009-01-08
Sandokan,Miniseries,Ended,it,Action & Adventure,"GB, DE, IT, FR",1,6,60,32,6.8,9.85,1976-01-06
Say Yes to the Dress,Reality,Returning Series,en,Reality,US,22,332,22,32,7.188,5.009,2007-10-12
Run with the Wind,Scripted,Ended,ja,"Animation, Drama, Comedy",JP,1,23,23,32,7.7,14.067,2018-10-03
Waffles + Mochi,Scripted,Returning Series,en,Kids,US,1,10,30,32,6.75,4.344,2021-03-16
Infiniti,Miniseries,Ended,fr,"Sci-Fi & Fantasy, Mystery, Drama",FR,1,6,52,32,6.8,7.825,2022-04-04
"Problem Children Are Coming from Another World, Aren't They?",Scripted,Ended,ja,"Animation, Comedy, Sci-Fi & Fantasy",JP,1,10,24,32,7.531,7.795,2013-01-12
See No Evil,Documentary,Returning Series,en,"Crime, Documentary",US,11,134,43,32,8.234,11.121,2015-02-17
Dirty Pair Flash,Video,Ended,ja,"Animation, Sci-Fi & Fantasy, Action & Adventure",JP,1,16,27,32,7.656,7.805,1994-01-21
Trickster,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama",CA,1,6,43,32,7.219,2.856,2020-10-07
Over Christmas,Miniseries,Ended,de,"Comedy, Drama",DE,1,3,45,32,5.859,3.882,2020-11-27
Marchlands,Miniseries,Ended,en,"Drama, Mystery",GB,1,5,46,32,7.5,5.746,2011-02-03
Modus,Scripted,Ended,sv,Crime,SE,2,16,45,32,6.25,8.745,2015-09-23
Ragdoll,Scripted,Returning Series,en,"Mystery, Crime",US,1,6,45,32,5.9,6.01,2021-11-11
Astrid: Murder in Paris,Scripted,Returning Series,fr,Crime,FR,4,32,52,32,7.719,57.622,2020-03-13
The Stranger,Scripted,Ended,en,"Drama, Mystery, Crime",US,1,13,8,32,7.156,4.16,2020-04-13
Frankie Drake Mysteries,Scripted,Canceled,en,"Drama, Crime, Mystery",CA,4,41,40,32,6.8,23.941,2017-11-06
Listeners,Scripted,Ended,ja,"Animation, Action & Adventure, Sci-Fi & Fantasy",JP,1,12,24,32,7.188,6.297,2020-04-04
Amar sin límites,Scripted,Ended,es,Drama,MX,1,135,60,32,6.313,22.904,2006-10-16
O.J.: Made in America,Documentary,Ended,en,Documentary,US,1,5,93,32,7.922,9.244,2016-06-11
SKAM France,Scripted,Returning Series,fr,Drama,FR,12,122,25,32,8.375,19.81,2018-02-09
Sons of Liberty,Miniseries,Ended,en,Drama,US,1,3,86,32,7.047,5.615,2015-01-25
Special OPS,Scripted,Ended,hi,"Mystery, Drama",IN,1,8,49,32,8.078,5.116,2020-03-17
Dad Stop Embarrassing Me!,Scripted,Canceled,en,Comedy,US,1,8,25,32,6.8,4.663,2021-04-14
The Kings,Documentary,Returning Series,en,Documentary,,1,4,58,32,6.781,3.68,2021-06-06
World of Winx,Scripted,Ended,en,"Animation, Action & Adventure","IT, US",2,26,24,32,8.0,4.773,2016-11-04
The Singing Detective,Miniseries,Ended,en,Drama,GB,1,6,70,32,7.734,8.212,1986-11-16
Ai Tenchi Muyo!,Scripted,Canceled,ja,"Animation, Comedy, Sci-Fi & Fantasy",JP,1,60,4,32,7.406,9.521,2014-10-06
Hunter Street,Scripted,Canceled,en,"Family, Action & Adventure, Comedy, Kids, Mystery",NL,4,90,22,32,7.903,20.212,2017-03-11
The Pact,Scripted,Returning Series,en,"Crime, Drama, Mystery",GB,2,12,52,32,7.3,6.501,2021-05-17
Tig n' Seek,Scripted,Canceled,en,"Kids, Animation",US,4,79,12,32,6.719,6.343,2020-07-23
The Virgin Wife,Scripted,Ended,es,Drama,MX,1,65,45,32,6.7,28.49,2005-07-18
Beautiful Bones: Sakurako’s Investigation,Scripted,Ended,ja,"Animation, Crime, Mystery, Drama",JP,1,12,24,32,6.774,6.636,2015-10-08
