name,type,status,original_language,genres,origin_country,number_of_seasons,number_of_episodes,episode_run_time,vote_count,vote_average,popularity,first_air_date
Andromeda,Scripted,Ended,en,"Action & Adventure, Drama, Sci-Fi & Fantasy","US, CA",5,110,45,217,7.136,55.072,2000-10-02
Onyx Equinox,Scripted,Ended,en,"Sci-Fi & Fantasy, Animation, Action & Adventure",MX,1,12,24,217,8.369,8.585,2020-11-21
Dungeons & Dragons,Scripted,Canceled,en,"Animation, Sci-Fi & Fantasy, Comedy, Action & Adventure, Kids",US,3,27,24,216,7.9,17.395,1983-09-17
Derry Girls,Scripted,Ended,en,"Comedy, Drama",GB,3,19,23,216,7.972,15.557,2018-01-04
La que se avecina,Scripted,Returning Series,es,Comedy,ES,13,178,90,216,8.262,25.384,2007-04-22
Aída,Scripted,Ended,es,"Drama, Comedy",ES,10,237,55,216,7.752,69.531,2005-01-16
Top Secret UFO Projects Declassified,Documentary,Canceled,en,Documentary,GB,1,6,45,216,7.227,10.725,2021-01-19
Tsukimichi -Moonlit Fantasy-,Scripted,Returning Series,ja,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy",JP,2,12,24,216,8.454,36.409,2021-07-07
Patrick Melrose,Miniseries,Ended,en,"Comedy, Drama",US,1,5,60,216,7.611,14.041,2018-05-12
The Real Ghostbusters,Scripted,Ended,en,"Action & Adventure, Animation, Comedy, Mystery",US,7,140,25,216,7.5,171.626,1986-09-13
The Graham Norton Show,Talk Show,Returning Series,en,"Comedy, Talk",GB,31,494,49,216,7.1,456.709,2007-02-22
Trailer Park Boys,Scripted,Ended,en,Comedy,CA,12,105,22,216,7.826,96.503,2001-04-22
Snowdrop,Scripted,Ended,ko,"Drama, Soap, War & Politics",KR,1,16,86,216,8.458,19.401,2021-12-18
Spider-Man and His Amazing Friends,Scripted,Ended,en,"Action & Adventure, Animation, Family, Sci-Fi & Fantasy",US,3,24,25,215,7.3,24.381,1981-09-12
Friday the 13th: The Series,Scripted,Ended,en,"Mystery, Sci-Fi & Fantasy","US, CA",3,72,45,215,7.272,101.559,1987-10-03
Sankarea: Undying Love,Scripted,Ended,ja,"Animation, Comedy, Drama",JP,1,12,24,215,7.919,14.126,2012-04-06
Frequency,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama",US,1,13,42,215,7.128,13.252,2016-10-05
Workaholics,Scripted,Ended,en,Comedy,US,7,86,21,215,7.365,17.024,2011-04-06
Platinum End,Scripted,Ended,ja,"Animation, Drama, Mystery",JP,1,24,24,214,7.942,18.366,2021-10-08
CSI: Vegas,Scripted,Returning Series,en,"Crime, Drama, Mystery",US,2,31,43,214,8.0,33.901,2021-10-06
Olive Kitteridge,Miniseries,Ended,en,Drama,US,1,4,60,214,7.582,8.428,2014-11-02
Dennis the Menace,Scripted,Ended,en,"Kids, Animation",US,2,78,22,214,6.53,178.971,1985-09-09
Sesame Street,Scripted,Returning Series,en,"Kids, Comedy",US,53,3048,54,214,7.026,330.134,1969-11-10
Coroner,Scripted,Ended,en,"Drama, Crime, Mystery",CA,4,38,44,213,7.1,25.879,2019-01-07
Tehran,Scripted,Returning Series,he,Drama,IL,2,16,45,213,7.514,20.096,2020-06-22
The Mosquito Coast,Scripted,Canceled,en,"Drama, Action & Adventure",MX,2,17,57,213,6.876,24.798,2021-04-30
Yasuke,Scripted,Ended,ja,"Animation, Drama, Action & Adventure, Sci-Fi & Fantasy",JP,1,6,28,212,7.594,14.298,2021-04-29
Luna Nera,Scripted,Ended,it,"Sci-Fi & Fantasy, Drama",IT,1,6,45,212,7.7,11.434,2020-01-31
The New Adventures of Winnie the Pooh,Scripted,Ended,en,"Family, Animation, Comedy, Kids",US,4,82,23,212,7.6,39.268,1988-09-10
The Outpost,Scripted,Canceled,en,"Sci-Fi & Fantasy, Action & Adventure",US,4,49,45,212,7.528,32.714,2018-07-10
Harper's Island,Scripted,Ended,en,"Mystery, Drama",US,1,13,42,212,7.007,21.057,2009-04-09
Dharma & Greg,Scripted,Ended,en,Comedy,US,5,119,30,212,6.408,22.612,1997-09-24
"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",Scripted,Ended,ja,"Animation, Drama",JP,1,13,24,212,8.302,18.909,2021-04-05
Sanctuary,Scripted,Ended,en,"Action & Adventure, Sci-Fi & Fantasy","CA, US",4,59,45,211,7.218,31.859,2008-10-03
Jackass,Scripted,Ended,en,Comedy,US,3,25,25,211,6.5,22.18,2000-04-12
Jewel in the Palace,Scripted,Ended,ko,Drama,KR,1,54,80,211,8.555,30.117,2003-09-15
The Mobile Cop Jiban,Scripted,Ended,ja,"Action & Adventure, Sci-Fi & Fantasy",JP,1,52,24,211,7.882,12.492,1989-01-29
Tiny Pretty Things,Scripted,Canceled,en,"Drama, Mystery",US,1,10,59,211,7.611,9.203,2020-12-14
Powerpuff Girls Z,Scripted,Ended,ja,"Animation, Sci-Fi & Fantasy, Action & Adventure",JP,1,52,25,211,8.145,129.538,2006-07-01
La saga: Negocio de Familia,Scripted,Ended,es,"Crime, Mystery, Drama",CO,1,188,45,211,8.175,17.483,2004-09-20
The Helpful Fox Senko-san,Scripted,Ended,ja,"Animation, Comedy, Sci-Fi & Fantasy",JP,1,12,24,211,8.491,12.835,2019-04-10
Treadstone,Scripted,Canceled,en,Action & Adventure,US,1,10,43,211,7.294,19.157,2019-10-15
Miracle Workers,Scripted,Returning Series,en,Comedy,US,4,37,23,211,6.95,41.537,2019-02-12
La Prepago,Scripted,Ended,es,Drama,CO,1,61,44,210,7.262,24.281,2013-06-19
The Serpent,Miniseries,Ended,en,"Drama, Crime",GB,1,8,58,210,7.624,14.33,2021-01-01
My Little Girl,Scripted,Ended,tr,Drama,TR,1,92,120,210,7.843,34.374,2018-09-19
Princess Agents,Scripted,Ended,zh,Drama,CN,1,67,45,210,7.5,17.306,2017-06-05
The Letter for the King,Scripted,Ended,en,"Sci-Fi & Fantasy, Action & Adventure, Family",GB,1,6,47,210,6.976,11.597,2020-03-20
The I-Land,Miniseries,Ended,en,"Drama, Sci-Fi & Fantasy",US,1,7,42,209,5.572,11.195,2019-09-12
Free!,Scripted,Ended,ja,"Animation, Comedy, Drama",JP,3,37,24,209,8.287,29.151,2013-07-04
